Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/Automatically Inflatable and Stowable Volume",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/aisv-automatically-inflatable-and-stowable-volume-for-step-reduction-in-wec-cost-of-energy/,,"Quoceant,Wave Energy Scotland,European Marine Energy Centre Ltd",Inactive,Wave,2016,,,,"Single Device",Completed,,,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Barbados Wave Energy Farm",https://wello.eu/2022/08/08/wello-and-bidc-sign-commercial-agreement/?utm_source=Tethys&utm_campaign=8fb4621a97-Tethys%2BEngineering%2BBlast%2B12%2BAugust%2B2022&utm_medium=email&utm_term=0_2d9450ca22-8fb4621a97-451629636,,"Wello Oy",Active,Wave,Planned,,"Grid Connected",5,Array,Planned,"Wello Oy Penguin",,"Consett Bay, Barbados",Coastal,Barbados
"PRIMRE/Databases/Projects Database/Projects/Bardsey Sound Tidal Array",https://www.marineenergywales.co.uk/projects/nova-innovation/,,"Nova Innovation Ltd",Inactive,Tidal,2017,,"Grid Connected",,Array,Canceled,"Nova 30",,"Irish Sea, UK","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Bermuda Seabased Power Park",https://seabased.com/news-insights/bermuda-seabased-agreement-40mw-power-park,,"Seabased AB",Active,Wave,2021,,"Grid Connected",40,Array,Planned,"Seabased WEC",20,"Bermuda Islands",Coastal,Bermuda
"PRIMRE/Databases/Projects Database/Projects/Bernera",https://www.emec.org.uk/about-us/wave-clients/pelamis-wave-power/,,"Pelamis Wave Power",Inactive,Wave,2009,2014,,10,Array,Completed,P2,10,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power China 1",,,"Blue Shark Power System",Inactive,Tidal,Canceled,,,0.3,"Single Device",Canceled,"Blue Shark",1,,,China
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power Djibouti 1",https://www.offshore-energy.biz/blue-shark-power-system-unveils-djibouti-tidal-energy-plans/,,"Blue Shark Power System",Inactive,Tidal,Canceled,,,0.5,"Single Device",Canceled,"Blue Shark",1,,,Djibouti
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power Djibouti 2",https://www.offshore-energy.biz/blue-shark-inks-djibouti-tidal-power-deal/,,"Blue Shark Power System",Active,"Tidal,Riverine",2019,,,120,Array,Planned,"Blue Shark",495,,,Djibouti
"PRIMRE/Databases/Projects Database/Projects/Bluemull Sound",https://www.novainnovation.com/about-nova/nova-innovation/,,"Nova Innovation Ltd",Active,Tidal,2014,,"Grid Connected",0.03,Array,Operational,"Nova 30",6,"Bluemull Sound, Shetland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Bonnybrook",https://www.newenergycorp.ca/bonnybrook,,"New Energy Corporation",Inactive,Tidal,2006,,,,"Single Device",Completed,,1,"Calgary, Alberta, Canada",,Canada
"PRIMRE/Databases/Projects Database/Projects/Brims Tidal Array Phase 1",https://tethys.pnnl.gov/sites/default/files/publications/Brims-Tidal-Array-Scoping-2013.pdf,,"OpenHydro Group Ltd",Inactive,Tidal,2019,,,60,Array,Canceled,"Open Centre Turbine",30,"Pentland Firth",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Brims Tidal Array Phase 2",https://tethys.pnnl.gov/sites/default/files/publications/Brims-Tidal-Array-Scoping-2013.pdf,,"OpenHydro Group Ltd,Aquatera Ltd",Inactive,Tidal,Canceled,2023,,200,Array,Canceled,"Open Centre Turbine",170,"Pentland Firth",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Brough Head",https://tethys.pnnl.gov/sites/default/files/publications/Brough-Head-Wave-Farm-Scoping-Report.pdf,,"Aquamarine Power",Inactive,"Wave,Tidal",2010,,,200,Array,Planned,"Oyster 800",200,"Orkney coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Buka Passage Tidal Energy Project",https://www.mako.energy/buka,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,2017,2019,"Grid Connected",,"Single Device",Canceled,"MAKO Tidal Turbine",,"Buka Passage",,"Papua New Guinea"
"PRIMRE/Databases/Projects Database/Projects/Burghead",https://awsocean.com/,,"AWS Ocean Energy Ltd",Inactive,Wave,Canceled,,"Grid Connected",159,Array,Canceled,"Archimedes Waveswing",,"Moray Firth, Scotland, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/CalWave Scripps X1 Pilot",https://calwave.energy/calwave-successfully-concludes-historic-wave-energy-pilot-in-california/,,"CalWave Technologies",Inactive,Wave,2021,2022,"Grid Connected",0.001,"Single Device",Decommissioned,"CalWave Technologies xWave",1,"Pacific Ocean","Open Ocean","United States"
"PRIMRE/Databases/Projects Database/Projects/Canoe Pass",https://canada.constructconnect.com/joc/news/others/2011/02/canoe-pass-turbines-are-an-innovative-design-joc042736w,,"New Energy Corporation",Inactive,Tidal,2017,,,0.5,Array,Completed,"EnCurrent Turbine",2,"Strait of Georgia, Canada",,Canada
"PRIMRE/Databases/Projects Database/Projects/Cape Sharp Tidal Project",https://www.aecon.com/our-projects/recent/cape-sharp-tidal,,"OpenHydro Group Ltd",Inactive,Tidal,2014,2018,"Grid Connected",4,Array,Completed,"Open Centre Turbine",2,"Bay of Fundy, Nova Scotia","Enclosed Bay",Canada
"PRIMRE/Databases/Projects Database/Projects/Capul Tidal Energy Farm",https://www.sabella.bzh/en/our-projects/capul/,,"HWB Asia Pacific,Sabella",Active,Tidal,Planned,,"Grid Connected",1.5,Array,Planned,,3,"San Bernardino Strait","Constricted Channel",Philippines
"PRIMRE/Databases/Projects Database/Projects/Cardiff Tidal Lagoon",https://infrastructure.planninginspectorate.gov.uk/projects/wales/tidal-lagoon-cardiff/,,"Tidal Lagoon Power",Inactive,Tidal,2013,,,3000,Array,Planned,,100,"Severn Estuary, UK",River,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Chilla Canal",https://www.newenergycorp.ca/chilla-canal,,"New Energy Corporation",Inactive,Tidal,2011,,"Grid Connected",0.05,Array,Completed,,2,"Chilla Canal, Ganges River, India",,India
"PRIMRE/Databases/Projects Database/Projects/Cobscook Bay Tidal Energy Project",https://orpc.co/storage/2022/02/2015-Environmental-Monitoring-Report.pdf,,"Ocean Renewable Power Company",Inactive,Tidal,2012,,"Grid Connected",0.45,Array,Completed,"TidGen Power System",3,"Cobscook Bay, ME","Enclosed Bay","United States"
"PRIMRE/Databases/Projects Database/Projects/Costa Head Wave Farm",https://webarchive.nrscotland.gov.uk/3000/https://www.gov.scot/Topics/marine/Licensing/marine/scoping/costa,,"Costa Head Wave Farm Ltd",Inactive,Wave,Canceled,,"Not Grid Connected",200,Array,Canceled,AWS-III,,"Costa Head, North of Mainland Orkney, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Cozumel Ccell",https://www.power-technology.com/features/ccell-energy-save-coral/,,"CCell Renewables Ltd",Inactive,Wave,2018,,"Grid Connected",,"Single Device",Completed,"CCell WEC",1,"Gulf of Mexico",,Mexico
"PRIMRE/Databases/Projects Database/Projects/Crestwing Demonstration",https://crestwing.dk/english-2/,,Crestwing,Active,Wave,Canceled,,"Not Grid Connected",,"Single Device",Operational,Tordenskiold,1,"Kattegat Strait, Northern Denmark",Coastal,Denmark
"PRIMRE/Databases/Projects Database/Projects/Davao Energy Island Plant",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,"Thermal Gradient",Planned,,"Grid Connected",50,"Single Device",Planned,,1,"Off the coast of Davao Gulf",Coastal,Philippines
"PRIMRE/Databases/Projects Database/Projects/Dent Tidal Energy Project",https://www.nrcan.gc.ca/science-data/funding-partnerships/funding-opportunities/current-investments/water-wall-turbine-dent-island-tidal-power-generation-project/16690,,"Water Wall Turbine",Active,Tidal,2012,,"Grid Connected",1,"Single Device",Operational,WWTurbine,1,"Lions Bay, BC","Enclosed Bay",Canada
"PRIMRE/Databases/Projects Database/Projects/Dragonfly II Tests on the Scheldt",https://water2energy.nl/tests-on-the-scheldt/,,Water2Energy,Inactive,Tidal,2014,,"Not Grid Connected",0.2,"Single Device",Completed,"Water2Energy VAWT",1,"River Scheldt, Belgium",River,Belgium
"PRIMRE/Databases/Projects Database/Projects/Duncan Dam",https://www.newenergycorp.ca/duncan-dam,,"New Energy Corporation",Inactive,Tidal,2008,,,0.1,Array,Completed,,4,"Duncan Dam, British Columbia",,Canada
"PRIMRE/Databases/Projects Database/Projects/EEL Energy Pilot",https://www.eel-energy.fr/en/eel-energy-defies-the-laws-of-physics/,,"EEL Energy",Active,Tidal,2022,,"Not Grid Connected",0.05,"Single Device",Operational,"EEL Energy Tidal Generator",1,"Harbor of Brest, Brittany","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/Eagle",https://www.newenergycorp.ca/eagle,,"New Energy Corporation",Inactive,"Tidal,Riverine",2010,,,0.025,"Single Device",Completed,,1,"Yukon River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/East Foreland Tidal Project",https://orpc.co/,,"Ocean Renewable Power Company",Active,Tidal,2021,,"Grid Connected",5,Array,Planned,"Seagen S",,"Cook Inlet","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Eco Wave Power Wave Energy Power Station Gibraltar",https://www.ecowavepower.com/gibraltar/,,"Eco Wave Power",Inactive,Wave,2016,2021,"Grid Connected",0.1,"Single Device",Completed,"Eco Wave Power Wave Clapper",1,"Ammunition Jetty, Straight of Gibraltar, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Eco Wave Power Wave Energy Power Station Jaffa",https://www.ecowavepower.com/israel/,,"Eco Wave Power",Active,Wave,2015,,"Not Grid Connected",0.1,"Single Device",Operational,"Eco Wave Power Wave Clapper",1,"Jaffa Port, Mediterranean Sea, Israel",Coastal,Israel
"PRIMRE/Databases/Projects Database/Projects/Energy Dike",https://redstack.nl/en/projecten/energiedijken/,,"REDStack BV",Inactive,"Salinity Gradient",2013,2015,,,"Single Device",Completed,"RED-Stack Blue Energy",1,"North Sea",,Netherlands
"PRIMRE/Databases/Projects Database/Projects/Enermar Pilot Plant",https://www.nsenergybusiness.com/features/featuretalking-wave-wind/,,"Ponte di Archimede International SpA PdA",Inactive,Tidal,2001,2005,"Not Grid Connected",0.05,"Single Device",Completed,KOBOLD,1,"Strait of Messina, Italy","Constricted Channel",Italy
"PRIMRE/Databases/Projects Database/Projects/Etel Estuary Tidal Energy Trial",https://novainnovation.com/news/simple-post-with-banner-retjs-c76br,,"Nova Innovation Ltd",Inactive,"Tidal,Riverine",2023,2023,"Grid Connected",0.05,"Single Device",Completed,"Nova RE50",1,"Etel Estuary","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/ExoWave North Sea Demonstration",https://exowave.com/wp-content/uploads/2020/12/Exowave-Aps-Press-Release-20201218.pdf,,ExoWave,Active,Wave,2020,,,,"Single Device",Planned,"ExoWave Cell",1,"North Sea",,Denmark
"PRIMRE/Databases/Projects Database/Projects/FLASC Demo",https://www.offshoreenergystorage.com/,,"University of Malta",Inactive,Tidal,2017,,"Not Grid Connected",8,"Single Device",Completed,"Floating Liquid-piston Accumulator using Seawater under Compression FLASC",1,"Grand Harbour, Maltese Islands",,Malta
"PRIMRE/Databases/Projects Database/Projects/FORCE 9 MW Pre-Commerical Demo",https://www.andritz.com/products-en/hydro/products/tidal-current-turbines,,"ANDRITZ Hydro",Active,Tidal,2019,,,9,Array,Planned,HS1500,6,"Minas Basin",,Canada
"PRIMRE/Databases/Projects Database/Projects/FORWARD2030",https://www.forward2030.tech/project-overview,,Scotrenewables,Active,Tidal,2020,,"Grid Connected",10,Array,Planned,"O2 Turbine",2,"Fall of Warness, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/FaBTest Fred. Olsen",https://www.offshore-energy.biz/uk-fabtest-welcomes-first-wave-energy-device/,,"Fred. Olsen Renewables",Inactive,Wave,2012,2014,,0.24,"Single Device",Completed,"BOLT Lifesaver",1,"Falmouth Bay, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/FaBTest Polygen",https://www.offshore-energy.biz/polygen-deploys-wave-energy-device-at-fabtest/,,"PolyGen Ltd",Active,Wave,2015,,,0,"Single Device",Operational,Volta,1,"Falmouth Bay, English Channel, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Fair Head Phase 1",https://antrimcoastandglensaonb.ccght.org/wp-content/uploads/sites/10/2017/01/Fairhead-Tidal-presentation.pdf,,"Fair Head Tidal Energy Park Limited,DP Energy,DEME Blue Energy",Inactive,Tidal,2012,,"Grid Connected",10,Array,Canceled,"DeepGen IV",6,"Malin, UK",,Ireland
"PRIMRE/Databases/Projects Database/Projects/Fair Head Phase 2",https://antrimcoastandglensaonb.ccght.org/wp-content/uploads/sites/10/2017/01/Fairhead-Tidal-presentation.pdf,,"Tidal Ventures Limited TVL",Inactive,Tidal,Canceled,,,90,Array,Canceled,"DeepGen IV",,,,Ireland
"PRIMRE/Databases/Projects Database/Projects/False Pass",https://energy.gov/sites/prod/files/2016/01/f28/38_apia_bruce_wright.pdf,,"Ocean Renewable Power Company",Inactive,"Tidal,Ocean Current",2012,2012,"Not Grid Connected",0.02,"Single Device",Completed,"TidGen Power System",1,"False Pass, AK","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Farr Point Wave Array - Phase 1",https://tethys.pnnl.gov/project-sites/farr-point-wave-array-phase-1,,"Pelamis Wave Power",Inactive,Wave,Canceled,,"Grid Connected",10,Array,Canceled,"Pelamis P2",,"Atlantic Ocean","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/FloWatt",https://www.hydroquest.fr/en/flowatt-en/,,"Hydroquest SAS,Qair",Active,Tidal,Planned,,,17.5,Array,Planned,Hydroquest,7,"Le Raz Blanchard, Normandie, France",,France
"PRIMRE/Databases/Projects Database/Projects/Fort Simpson",https://www.newenergycorp.ca/fort-simpson,,"New Energy Corporation",Inactive,Tidal,2010,,,0.025,"Single Device",Completed,,1,"Mackenzie River",River,Canada
"PRIMRE/Databases/Projects Database/Projects/Fri-El Seapower - Messina Project",https://www.fri-el.it/en/home/,,"FRI EL Sea Power S r l",Inactive,"Ocean Current",2007,2011,"Grid Connected",0.2,Array,Completed,"Fri-El Seapower",6,"Strait of Messina, Italy","Constricted Channel",Italy
"PRIMRE/Databases/Projects Database/Projects/Full Scale 1.5MW Pembrokeshire Demonstration",https://bomborawave.com/latest-news/project/1-5mw-pembrokeshire-project/,,"Bombora Wave",Active,Wave,2017,,"Grid Connected",1.5,"Single Device",Planned,"Bombora Wave mWave",1,"East Pickard Bay, Pembrokeshire, Wales",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Fundy Tidal",https://www.newenergycorp.ca/fundy-tidal,,"New Energy Corporation",Inactive,Tidal,2010,,,0.005,"Single Device",Decommissioned,,1,"Bay of Fundy, Nova Scotia",,Canada
"PRIMRE/Databases/Projects Database/Projects/GEM: The Oceans Kite",http://www.adag.unina.it/gem%20volantino_ENG_v3.pdf,,"Seapower scrl",Inactive,"Tidal,Riverine",2005,,,0.02,"Single Device",Planned,"GEM Ocean's Kite",1,"Venice Lagoon",,Italy
"PRIMRE/Databases/Projects Database/Projects/Gapura Energi Utama Wave Farm",https://www.oceanenergy-europe.eu/industry-news/wello-is-supplying-a-10-mw-wave-energy-park-to-bali/,,"Wello Oy",Active,Wave,2018,,,10,Array,Planned,"Wello Oy Penguin",33,"Bali Sea, Indonesia",,Indonesia
"PRIMRE/Databases/Projects Database/Projects/Ghana Wave Park Commercial",https://seabased.com/news-insights/seabased-signs-100-mw-wave-power-plant-contract-with-ghana,,"Seabased AB",Active,Wave,2018,,,100,Array,Planned,"Seabased WEC",,"Gulf of Guinea, Ghana",,Ghana
"PRIMRE/Databases/Projects Database/Projects/Ghana Wave Park Pilot",https://seabased.com/projects,,"Seabased AB",Inactive,Wave,2014,2016,,0.4,Array,Completed,"Seabased WEC",6,"Gulf of Guinea, Ghana",,Ghana
"PRIMRE/Databases/Projects Database/Projects/Grand Passage",https://www.hydroreview.com/news/grand-passage-tidal-energy-system-ready-for-commercial-operation/#gref,,"Sustainable Marine Energy Ltd",Active,Tidal,2018,,"Grid Connected",0.7,"Single Device",Operational,PLAT-I,1,"Grand Passage, Nova Scotia, Canada","Enclosed Bay",Canada
"PRIMRE/Databases/Projects Database/Projects/Green Hydrogen and Oxygen Supply from Tidal Energy",https://novainnovation.com/news/green-hydrogen-project-win,,"Nova Innovation Ltd",Active,Tidal,2021,,"Grid Connected",3,Array,Planned,"Nova M100",30,"Yell, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/HACE Commissioning",https://hacewaveenergy.com/,,"Hydro Air Concept Energie",Active,Wave,2018,,,0.05,"Single Device",Operational,"HACE WEC",1,"Atlantic Port of La Rochelle",,France
"PRIMRE/Databases/Projects Database/Projects/HERO WEC - Waves to Water Prize",https://openei.org/wiki/HERO-WEC,,"National Renewable Energy Laboratory",Active,Wave,2021,2022,"Not Grid Connected",0,"Single Device",Operational,"NREL HERO WEC",1,"North Carolina’s Outer Banks",Coastal,"United States"
"PRIMRE/Databases/Projects Database/Projects/Half Moon Cove Tidal Project",https://www.mainetidalpower.com/development.html,,"Tidewalker Associates",Inactive,Tidal,2007,,,9,"Single Device",Planned,,1,"Half Moon Cove, Maine",,"United States"
"PRIMRE/Databases/Projects Database/Projects/HanstholmWavestar WEC",https://www.researchgate.net/publication/295244744_Structural_Reliability_of_Plain_Bearings_for_Wave_Energy_Converter_Applications,,"Wavestar Energy AS",Inactive,Wave,2009,,,0.6,"Single Device",Planned,"Wavestar WEC",1,"North Sea, Denmark",,Denmark
"PRIMRE/Databases/Projects Database/Projects/Holyhead Deep",https://minesto.com/projects/holyhead-deep,,"Minesto AB",Active,Tidal,2018,,,80,Array,Planned,"Deep Green Tidal Kite",20,"Irish Sea, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Hpa An",https://www.newenergycorp.ca/myanmar,,"New Energy Corporation",Active,Tidal,2015,,,0.02,Array,Operational,,2,"Thanlyin River, Myanmar",,Myanmar
"PRIMRE/Databases/Projects Database/Projects/Humber Pulse Tidal",https://www.thebusinessdesk.com/yorkshire/news/8141-pulse-tidal-looks-to-cash-in-on-wave-power,,"Pulse Tidal formerly Pulse Generation",Inactive,Tidal,2009,2014,"Not Grid Connected",0.1,Sub-scale,Decommissioned,,1,"Humber, United Kingdom","Enclosed Bay","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Hydrokinetic Energy Corp Turbine",https://hydrokinetic-energy.com/project,,"Hydrokinetic Energy Corp",Active,"Tidal,Ocean Current",2016,,"Not Grid Connected",,"Single Device",Planned,,1,,,"United States"
"PRIMRE/Databases/Projects Database/Projects/ISWEC Demonstration at Pantelleria",https://www.eni.com/en-IT/media/press-release/2023/03/installation-iswec-off-coast-pantelleria-has-been-completed.html,,"Eni,Wave for Energy s.r.l",Active,Wave,2023,,"Grid Connected",0.26,"Single Device",Operational,"ISWEC Inertial Sea Wave Energy Converter",1,"Coast of Pantelleria, Italy",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/Igiugig Alaska",https://www.igiugig.com/igiugig-rivgen,,"Ocean Renewable Power Company",Active,Riverine,2019,,,0.07,"Single Device",Operational,"RivGen Power System",1,"Kvichak River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/InSPIRE- Integrated mWave and Wind Floating Platform",https://bomborawave.com/latest-news/project/inspire-12mw-integrated-mwave-project/,,"Bombora Wave",Active,Wave,Planned,,"Grid Connected",18,"Single Device",Planned,"Bombora Wave mWave",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Islay Community Demonstration",https://www.flexmarinepower.com/,,"Flex Marine Power Ltd",Active,Tidal,2021,,"Grid Connected",0.05,"Single Device",Planned,"FM-Swimmer Tidal Turbine",1,"Sound of Islay, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Kaipara Harbour Tidal Project",https://www.nzherald.co.nz/nz/plug-pulled-on-tidal-turbine-projects/2D6G6DEF4EOUW2LETNHRJFEXKY/,,CrestEnergy,Inactive,Tidal,Canceled,,"Grid Connected",200,Array,Canceled,"Open Centre Turbine",200,"Kaipara Harbour, New Zealand","Enclosed Bay","New Zealand"
"PRIMRE/Databases/Projects Database/Projects/Kobe Demonstration",https://marineenergy.biz/2017/06/05/japanese-firm-demonstrates-floating-wave-prototype/,,"Wave Energy Technologies Inc",Inactive,Wave,Canceled,2017,"Not Grid Connected",1.2,"Single Device",Completed,"Wave Energy Technology WEC",1,"Osaka Bay, Kobe, Japan",,Japan
"PRIMRE/Databases/Projects Database/Projects/Kobold II",https://www.iee.fraunhofer.de/en/research_projects/search/2014/kobold-ii.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Ponte di Archimede International SpA PdA",Inactive,"Tidal,Ocean Current",2011,2014,"Grid Connected",0.15,"Single Device",Completed,KOBOLD,1,"Lombok Strait, Indonesia","Constricted Channel",Indonesia
"PRIMRE/Databases/Projects Database/Projects/Kootznahoo Inlet",https://littoralpower.com/installations/,,"Littoral Power Systems Inc,Barrett Energy Resources Group",Active,Tidal,2021,,"Not Grid Connected",0.3,"Single Device",Planned,,1,"Kootznahoo Inlet, AK, USA","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/LHD Tidal Demo",https://www.offshore-energy.biz/chinas-lhd-tidal-demo-generates-800mwh-marks-world-record/,,LHD,Inactive,Tidal,2016,2020,"Grid Connected",3.4,Array,Completed,"LHD Tidal Demo",7,"East China Sea, Zhejiang Province",,China
"PRIMRE/Databases/Projects Database/Projects/Larantuka 10MW project",http://www.sbsintl.com/larantuka-10MW-project.html,,"SBS Intl Ltd",Active,Tidal,2022,,"Grid Connected",10,Array,Planned,,,"Larantuka Strait, Indonesia","Constricted Channel",Indonesia
"PRIMRE/Databases/Projects Database/Projects/Lashy Sound Phase 1",https://www.webarchive.org.uk/wayback/archive/20150218220510/http://www.gov.scot/Topics/marine/Licensing/marine/scoping/LashySound/scoping-report,,"Orbital Marine Power",Active,Tidal,2012,,"Grid Connected",10,Array,Planned,"O2 Turbine",5,"Lashy Sound, Orkney; Scotland, Orkney",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Lashy Sound Phase 2",https://www.webarchive.org.uk/wayback/archive/20150218220510/http://www.gov.scot/Topics/marine/Licensing/marine/scoping/LashySound/scoping-report,,"Orbital Marine Power",Active,Tidal,2020,,"Grid Connected",20,Array,Planned,"O2 Turbine",10,"Lashy Sound, Orkney; Scotland, Orkney",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Living Bridge",https://www.newenergycorp.ca/living-bridge-project,,"New Energy Corporation",Active,Tidal,2017,,,0.025,"Single Device",Operational,,1,"Portsmouth, New Hampshire",,"United States"
"PRIMRE/Databases/Projects Database/Projects/Lords Cove",https://www.offshore-energy.biz/atmocean-catches-canadian-wave/,,Atmocean,Inactive,Wave,2017,,,0,"Single Device",Completed,Waverider,1,"Lord's Cove, Newfoundland and Labrador, Canada","Open Ocean",Canada
"PRIMRE/Databases/Projects Database/Projects/Majis",https://www.newenergycorp.ca/oman,,"New Energy Corporation",Active,Tidal,2018,,,0.005,Array,Planned,,,"Port of Sohar, Oman",,Oman
