Name,Type,Sector,Country,"Year Founded","Number of Employees",Website,"Phone Number"
"Balkee Tide and Wave Electricity Generator","Technology Developer","Marine Energy,Renewable Energy",Mauritius,,,,"+230 2838764"
"Barrett Energy Resources Group","Project Manager","Marine Energy,Renewable Energy,Solar,Wind energy","United States",2016,,https://www.barrettenergygroup.com/,
"Bigmoon Power","Technology Developer","Marine Energy,Renewable Energy","United States",2015,1-10,http://bigmoonpower.com,"(801) 207-9735"
"BioPower Systems Pty Ltd","Technology Developer","Marine Energy,Renewable Energy",Australia,2006,2-10,http://bps.energy/,"+61 2 9209 4237"
"Biscay Marine Energy Platform","Technology Developer,Public Institutions","Marine Energy,Renewable Energy",Spain,2011,10,https://www.bimep.com/en/,"+34 946 87 98 35"
"Black Rock Tidal Power","Project Manager,Technology Developer","Marine Energy,Renewable Energy,Services",Canada,2013,1-10,,1-902-832-3676
"Black and Veatch","Technology Developer","Marine Energy,Renewable Energy","United States",1915,"10,001+",https://www.bv.com,913-458-2000
"Blackfish Engineering","Project Manager,Technology Developer","Marine Energy,Renewable Energy,Services,Wind energy","United Kingdom",2016,2-10,https://www.blackfishengineering.com/,"+44 (0)1173 138123"
"Blue Energy Canada","Technology Developer","Marine Energy,Renewable Energy",Canada,2010,2-10,http://www.bluenergy.com,"(604) 682-2583"
"Blue Lotus Energy",,"Marine Energy,Renewable Energy","United States",,,https://bluelotus.energy/,
"Blue Power Energy Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2008,,,
"Blue Shark Power System","Technology Developer","Marine Energy,Renewable Energy",France,2002,,http://bluesharkpower.eu/,
Bluewater,"Technology Developer","Marine Energy,Renewable Energy",Netherlands,1978,501-1000,http://www.bluewater.com/,"+31 (0)23 711 5500"
"Bombora Wave Power","Technology Developer","Marine Energy,Renewable Energy",Australia,2012,11-50,http://www.bomborawave.com/,"+44 (0) 1646 233 140"
"Bourne Energy","Energy Generation Organizations","Renewable Energy,Marine Energy","United States",2007,2-10,http://www.bourneenergy.com/,310-456-8112
"Bretagne Development Innovation","Project Manager,Technology Developer","Hydrogen,Marine Energy,Renewable Energy",France,2006,11-50,https://www.bdi.fr/en/home/,"02 99 84 53 00"
"Brimes Energy","Technology Developer","Marine Energy,Renewable Energy","United States",2014,2-10,http://brimesenergy.com/,(631)-672-7385
"CCell Renewables Ltd","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2015,2-10,http://ccell.co.uk/,"+44 (0)207 690 0485"
"CalWave Technologies","Technology Developer","Marine Energy,Renewable Energy","United States",2014,2-10,http://calwave.org/,510-486-4000
"Cambrian Offshore","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2019,3,https://cambrian-offshore.com/,
"Cape Sharp Tidal","Technology Developer","Marine Energy,Renewable Energy",Canada,2014,,http://capesharptidal.com/,9024714497
"Carnegie Clean Energy","Technology Developer","Marine Energy,Renewable Energy",Australia,1987,51-200,https://www.carnegiece.com/,"+61 8 6168 8400"
"Checkmate Seaenergy","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2007,15-25,http://www.checkmateukseaenergy.com/,"+44(0) 1795 580 333"
"Clearpower Technologies","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2001,,https://clearpowersystems.com/,
"College of the North Atlantic","Academic Institutions","Marine Energy",Canada,1997,,http://www.cna.nl.ca,709-758-7000
"Columbia Power Technologies Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2005,2-10,https://cpower.co/,"(434) 817-8799"
"Coppe Subsea Technology","Technology Developer","Marine Energy,Renewable Energy",Brazil,1989,11-50,https://www.linkedin.com/company/laboratorio-de-tecnologia-submarina/,
"CorPower Ocean","Technology Developer","Marine Energy,Renewable Energy",Sweden,2009,11-50,http://www.corpowerocean.com/,
"Costa Head Wave Farm Ltd","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2011,,https://tethys.pnnl.gov/annex-iv-sites/costa-head-wave-farm,
"Costas Wave","Technology Developer","Marine Energy,Renewable Energy","United States",2013,,,"(310) 254-6986"
Crestwing,"Technology Developer","Marine Energy,Renewable Energy",Denmark,2012,2-10,https://crestwing.dk/,"45 65361765"
"Crowd Energy","Technology Developer","Marine Energy,Renewable Energy","United States",2012,2-10,http://crowdenergy.org/,"(855) 732-8872"
"Current Kinetics","Technology Developer","Marine Energy,Renewable Energy","United States",2014,2-10,https://www.currentkinetics.com/,
"Current Power AB","Technology Developer","Marine Energy,Renewable Energy",Sweden,2005,,https://currentpower.eu/,+46(736)072-160
Current2Current,,,"United Kingdom",2007,2-10,https://www.aberdeenrenewables.com/members/full-member-directory/#%21biz/id/5ac79181afd6917e03a9ce90,"+44 (0) 1467 894 130"
"DEME Blue Energy","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Belgium,2010,,https://www.deme-group.com/,"+32 3 250 52 11"
"DEXAWAVE AS","Technology Developer","Marine Energy,Renewable Energy",Denmark,2008,,http://www.dexawave.com/,"45 86 51 86 90"
"DP Energy","Technology Developer","Renewable Energy,Marine Energy",Ireland,1993,11-50,http://www.dpenergy.com/,"+353 (0) 22 23955"
"Danish Wave Energy Center","Technology Developer","Renewable Energy,Marine Energy",Denmark,2009,2-10,http://www.danwec.com/en/home.htm,+4561140099
Decerna,"Project Manager,Technology Developer","Marine Energy,Renewable Energy","United States",2012,11-50,https://www.decerna.co.uk/about-us,"+44 (0)1670 613 270"
"Deepwater Energy BV","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2012,2-10,http://www.oryonwatermill.com/,"+31 26 20 20 299"
DesignPro,"Project Manager","Marine Energy,Renewable Energy",Ireland,2004,51-200,http://designpro.ie/,"+353 69 63842"
"DesignPro Renewables","Technology Developer","Marine Energy,Renewable Energy",Ireland,2014,,https://designprorenewables.com/,"+353 (0)69 63842"
Dresser-Rand,"Technology Developer","Marine Energy,Renewable Energy","United States",2004,"10,001+",https://www.siemens-energy.com/global/en/offerings/power-generation/steam-turbines/d-r-steam-turbines.html,"+1 713-354-6100"
"Dutch Wave Power","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2020,,https://dutchwavepower.com/,"+31 6 14367978"
"E3Tec service LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2007,,http://www.e3-tec.com/,"+1 (443) 812-5930"
"EEL Energy","Technology Developer","Marine Energy,Renewable Energy",France,2011,2-10,http://www.eel-energy.fr/,
"EHL Group","Project Manager,Technology Developer","Hydrogen,Marine Energy,Renewable Energy","New Zealand",2002,51-200,https://www.ehlsolutions.com/,"+64 (6) 755-2412"
"Eco Wave Power","Technology Developer","Marine Energy,Renewable Energy",Israel,2011,11-50,http://www.ecowavepower.com/,+972-3-509-4017
"Eco2 Ltd","Project Manager,Technology Developer","Biomass,Marine Energy,Renewable Energy,Solar,Wind energy","United Kingdom",2002,,http://www.eco2uk.com/index.asp,"+44 (0)2920 730 900"
EcoCinetic,"Technology Developer","Marine Energy,Renewable Energy",France,2011,1-10,,
"EcoH20 Innovations","Technology Developer","Marine Energy","United States",2013,7,https://web.archive.org/web/20171002055209/https://sarosdesalination.com/,
"Ecole Centrale de Nantes","Academic Institutions","Marine Energy,Renewable Energy",France,1919,501-1000,https://www.ec-nantes.fr/,"+33 240 371 600"
"Ecomerit Technologies LLC","Technology Developer","Renewable Energy,Marine Energy","United States",2009,,http://www.ecomerittech.com/,"+1 805 845 7575"
"Ecosse Subsea Systems","Project Manager,Oil and Gas Companies","Marine Energy,Renewable Energy,Wind energy","United Kingdom",1996,,https://www.globalunderwaterhub.com/9371/oceaneering-acquires-ecosse-subsea-limited,
"Electricite de France","Technology Developer","Marine Energy,Renewable Energy,Transmission",France,1946,"10,001+",https://www.edf.fr/en,"+33 (0)1 40 42 46 37"
"Elemental Energy Technology Limited","Technology Developer","Renewable Energy,Marine Energy",Australia,2007,11-50,https://find-and-update.company-information.service.gov.uk/company/14892104,
"Elgen Wave","Technology Developer","Marine Energy,Renewable Energy","United States",2008,,http://www.elgenwave.com,
"Embley Energy Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1998,2-10,https://www.crunchbase.com/organization/embley-energy,
"Emrgy Inc","Technology Developer","Hydropower,Marine Energy,Renewable Energy","United States",2014,11-50,https://emrgy.com/,"+1 (855) 459-1818"
"Energy Island Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2009,,http://www.energyisland.com/,"+44 (0)20 7221 1237"
"Energystics Ltd","Technology Developer","Marine Energy,Renewable Energy","United States",2011,2-10,http://vibristor.com/,"(516 674-4514)"
"Energía Marina SpA","Technology Developer","Marine Energy,Renewable Energy",Chile,2015,,https://meric.cl/en/,"+56 9 3202 5554"
Engie,"Technology Developer","Biofuels,Biomass,Hydropower,Marine Energy,Renewable Energy,Solar,Transmission,Wind energy",France,2008,"10,001+",https://www.engie.com/en,
Eni,"Technology Developer,Oil and Gas Companies","Biofuels,Biomass,Marine Energy,Renewable Energy,Solar,Wind energy",Italy,,1953,https://www.eni.com/en-IT/,"+39 06 598 21"
"Enorasy LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2015,2-10,http://www.enorasy.com/,781-266-6716
"Ente Vasco de La Energia","Energy Generation Organizations,Technology Developer","Marine Energy,Renewable Energy,Wind energy",Spain,1982,,https://www.eve.eus/?lang=en-gb,"+34 944 035 600"
"Enzen Global Limited","Project Manager","Marine Energy,Renewable Energy,Solar,Wind energy","United Kingdom",2006,"501-1,000",https://www.enzen.com/,"+44 121 3149626"
"Etymol Ocean Power SpA","Technology Developer","Marine Energy,Renewable Energy",Chile,,,http://www.etymol.com/,"+56 (2) 2275-5854"
"European Marine Energy Centre Ltd","Energy Generation Organizations,Project Manager","Marine Energy,Renewable Energy","United Kingdom",2003,,https://www.emec.org.uk/,"+44 (0)1856 852060"
ExoWave,"Technology Developer","Marine Energy,Renewable Energy",Denmark,2014,2-10,https://exowave.com/,"+45 2332 3653"
"Fair Head Tidal Energy Park Limited","Technology Developer","Marine Energy,Renewable Energy",Ireland,,,http://dpenergy.info/fht/,"+353 22 239555"
"Fishflow Innovations","Technology Developer","Hydropower,Marine Energy,Renewable Energy",Netherlands,,,http://fishflowinnovations.nl/en/,"+31 227 570 020"
"Flex Marine Power Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",,2-10,http://www.flexmarinepower.com/,
"Float Inc","Technology Developer","Marine Energy,Renewable Energy,Wind energy","United States",1992,,http://www.floatinc.com,"+1 (760) 212-6416"
"Floating Power Plant AS",,"Renewable Energy",Denmark,2004,11-50,http://www.floatingpowerplant.com/,"+45 3391 9120"
Flumill,"Technology Developer","Marine Energy,Renewable Energy",Norway,2002,,https://www.emec.org.uk/about-us/our-tidal-clients/flumill/,
"Fraunhofer Institute for Energy Economics and Energy System Technology","Project Manager","Marine Energy,Renewable Energy",Germany,2018,,https://www.iee.fraunhofer.de/en.html,"+49 561 7294-0"
"Fred. Olsen Renewables","Technology Developer","Marine Energy,Renewable Energy",Norway,1848,51-200,https://fredolsenrenewables.com/,"+44 22 34 10 00"
"Free Flow 69","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2005,,http://www.freeflow69.com/,"+44 (0)1726 833337"
"Free Flow Power Corporation","Technology Developer","Marine Energy,Renewable Energy","United States",2007,,http://www.free-flow-power.com/,
"French Research Institute for Exploitation of the Sea","Public Institutions","Marine Energy,Renewable Energy",France,1984,1500,https://en.ifremer.fr/,
"Fundy Ocean Research Center for Energy","Project Manager","Marine Energy",Canada,2009,,https://fundyforce.ca/,902-254-2510
"Fundy Tidal Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,2006,,https://tethys.pnnl.gov/organization/fundy-tidal-inc,
"GCK Technology Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2000,2-10,http://tidalpower.co.uk/gck-technology,
"GEPS Techno","Technology Developer","Marine Energy,Renewable Energy,Solar,Wind energy",France,2011,,https://geps-techno.com/en/home/,"+33 (0)2 40 45 97 74"
"GKinetic Energy Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2013,2-10,http://gkinetic.com,
"GMax Tidal Energy","Technology Developer","Marine Energy,Renewable Energy","United States",,11-50,http://gmaxtidalenergy.com/,"+1 (917) 291-5703"
GWave,"Technology Developer","Marine Energy,Renewable Energy","United States",2006,2-10,https://www.marineenergywales.co.uk/u-k-news/gwave-launches-wave-hub-project/,
"Global OTEC","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2017,,https://globalotec.co/,
"GlobalOne Sciences LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2015,11-50,https://www.zoominfo.com/c/globalone-sciences/371541344,
"Go With the Flow Technologies Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,2015,1-10,http://www.gwft.ca/,"+1 (250) 361-6927"
"Green Wave Energy Corp","Technology Developer","Marine Energy,Renewable Energy","United States",2008,2-10,,"(949) 645-1701"
"Grey Island Energy Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,2009,2-10,https://www.crunchbase.com/organization/grey-island-energy,
"Guangzhou Institute of Energy Conversion","Technology Developer","Marine Energy,Renewable Energy",China,1972,405,http://english.giec.cas.cn/,
"Guinard Energies Nouvelles","Project Manager,Technology Developer","Marine Energy,Renewable Energy",France,2008,2-10,http://www.guinard-energies.bzh/en/guinard-energies-2/,"+33 (0)9 84 45 71 87"
"Gulfstream Technologies","Technology Developer","Marine Energy,Renewable Energy","United States",2005,2-10,https://www.crunchbase.com/organization/gulfstream-technologies,940-564-5682
"HWB Asia Pacific","Technology Developer,Oil and Gas Companies,Energy Distribution Organizations","Renewable Energy,Marine Energy",Philippines,2012,50,https://hwbasiapacific.net/,"632 8635-2692"
"Halagonia Tidal Energy Ltd","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Canada,,,https://fundyforce.ca/partners/halagonia-tidal-energy-limited,
"Halcyon Tidal Power LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2012,2-10,https://www.ampliz.com/company/halcyon-tidal-power-llc/89713189,
"Hales Water Turbines Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2013,,http://www.halesenergy.com/,"+44 (0)7968 594 011"
"Hangzhou United Energy Co Ltd","Technology Developer","Services,Marine Energy",China,2003,,,
"Hann-Ocean Group","Technology Developer","Marine Energy,Renewable Energy",Singapore,2005,11-50,http://www.hann-ocean.com/,"+65 67787980"
"Harbin Engineering University","Academic Institutions","Renewable Energy,Marine Energy",China,1953,,https://english.hrbeu.edu.cn/index.htm,0086(0451)82519213
"Harvest Wave Energy","Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,,
"Havkraft AS","Technology Developer","Marine Energy,Renewable Energy",Norway,2009,,http://www.havkraft.no/,"+47 957 51 992"
"Healy Wave Energy LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2017,2-10,https://mainemarinecomposites.com/projects/healy-wave-energy-converter/,603-465-2915
Hexicon,"Technology Developer","Marine Energy,Wind energy,Renewable Energy",Sweden,2009,,https://www.hexicongroup.com/,"+46 708 88 05 02"
"Hillside Hydro","Technology Developer","Marine Energy,Renewable Energy","United States",,6-10,http://www.hillsidehydro.com/,
"Honolulu Seawater Air Conditioning","Technology Developer","Marine Energy,Renewable Energy","United States",2004,,http://www.honoluluswac.com/index.html,"+1 (808) 531-7922"
"Hydra Tidal Energy Technology AS","Technology Developer","Marine Energy,Renewable Energy",Norway,2001,,https://hydratidal.wordpress.com/contact/,"(+47) 77 06 08 08"
"Hydro Air Concept Energie","Technology Developer",,,,,http://hacewave.com/,"+33 (0)5 24 73 34 29"
"Hydro Alternative Energy Inc","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United States",2009,,http://haeturbines.com/,"+1 (561) 900-7200"
"Hydro Group PLC","Energy Distribution Organizations","Marine Energy,Renewable Energy,Wind energy,Transmission","United Kingdom",2002,,http://www.hydrogroupplc.com,"+44 (0) 1224 825 050"
"Hydro-Gen Technology","Technology Developer","Marine Energy,Renewable Energy",France,,,http://www.hydro-gen.fr/homepage_eng.htm,"+33 (0)9 53 85 76 60"
"HydroWave AS","Technology Developer",,Norway,2015,2-10,https://www.hydrowave.no/,"+47 957 51 992"
HydroWing,"Technology Developer","Renewable Energy,Marine Energy","United Kingdom",2017,15,https://hydrowing.tech/,"+44 (0)3330233760"
"Hydrocap Energy SAS","Technology Developer","Hydrogen,Marine Energy,Renewable Energy",France,2014,,https://hydrocap.com/en_en/,"+33 972 278 478"
"Hydrokinetic Energy Corp","Technology Developer","Marine Energy,Renewable Energy","United States",2014,2-10,http://www.hydrokinetic-energy.com/,"+1 (305) 296-2773"
"Hydrokinetic Power Generation Systems","Technology Developer","Hydropower,Renewable Energy,Marine Energy",Netherlands,,,https://www.hpgs.eu/,
"Hydroquest SAS","Technology Developer,Private Institutions","Marine Energy,Renewable Energy",France,2010,,https://www.hydroquest.fr/en/,"+33 485 85 01 50"
Hydrostor,"Energy Distribution Organizations,Technology Developer","Marine Energy,Renewable Energy,Solar,Wind energy",Canada,2010,11-50,https://hydrostor.ca/,"+ 1 (416) 548-7880"
"Hydrovolts Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2006,,https://www.crunchbase.com/organization/hydrovolts,1-206-658-4380
IDOM,"Project Manager,Technology Developer,Oil and Gas Companies","Geothermal energy,Hydropower,Hydrogen,Marine Energy,Nuclear,Renewable Energy",Spain,1957,,https://www.idom.com/en/,
"IHC Tidal Energy","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2012,,http://www.tocardo.com/news/,
"IHI Corporation","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Japan,1853,"10,001+",https://www.ihi.co.jp/en/,"81 3 6204 7065"
"ISTI Delaware Inc","Technology Developer","Marine Energy,Renewable Energy","United States",,,,
"Idnergie Inc","Technology Developer","Renewable Energy,Marine Energy",Canada,2011,11-50,http://idenergie.ca/en/,"(514) 225-6896"
"InCurrent Turbines Ltd","Technology Developer","Marine Energy,Renewable Energy",Canada,2012,,http://www.vortexpowerdrive.com/,
"Indian National Institute of Ocean Technology","Public Institutions","Marine Energy,Renewable Energy",India,1993,,https://www.niot.res.in/,044-66783300
"Ing Arvid Nesheim",,"Renewable Energy,Marine Energy",Norway,2004,,,"+47 951 08 439"
"Ingine Inc","Technology Developer","Marine Energy,Renewable Energy","South Korea",2017,,https://www.ingine.co.kr/eng/,+82-2-790-0098
Innosea,"Project Manager","Marine Energy,Renewable Energy",France,2012,11-50,http://www.innosea.co.uk/contact/,"+33 2 53 35 50 90"
"Instream Energy Systems Corporation","Technology Developer","Marine Energy,Renewable Energy",Canada,2008,2-10,https://www.instreamenergy.com/technology,"1-(604) 569-2769"
"Integrated Power Technology Corporation","Technology Developer","Marine Energy,Renewable Energy","United States",2006,2-10,https://www.crunchbase.com/organization/integrated-power-technology-corporation,9494570751
"Intentium AS","Technology Developer","Renewable Energy,Marine Energy",Norway,2007,,http://www.intentium.com/,"+47 33 12 03 00 "
"International Marine Energy Inc",,PRIMRE,Canada,,,,
Inyanga-Tech,,PRIMRE,"United Kingdom",2017,2-10,http://www.inyanga.tech,
"Japan Agency for Marine-Earth Science and Technology","Technology Developer","Marine Energy,Renewable Energy",Japan,1971,1001-5000,http://www.jamstec.go.jp/e/,+81-46-866-3811
"Jospa Ltd","Technology Developer","Renewable Energy,Marine Energy",Ireland,2008,,https://www.jospaoceansolutions.com/,"+353 (0)1 212 2990"
"Joules Energy Efficiency Services Ltd","Technology Developer","Renewable Energy,Marine Energy","United Kingdom",1994,,,"028 92639137"
"Jupiter Hydro Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,2011,11-50,http://www.jupiterhydro.com/,+1-902-880-8242
"Kawasaki Heavy Industries","Project Manager,Technology Developer","Hydrogen,Marine Energy",Japan,1978,,https://global.kawasaki.com/,+81-3-3435-2111
"Kepler Energy","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2010,,http://keplerenergy.co.uk/,"+44 (0)7808 739266"
"Kinetic Wave Power","Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,,"(989) 839-9757"
"Korea Institute of Ocean Science and Technology","Technology Developer,Private Institutions","Marine Energy,Renewable Energy","South Korea",1973,,http://www.kiost.ac.kr/eng.do,(+82)51-664-3000
"Korea Research Institute of Ships and Ocean Engineering","Private Institutions","Marine Energy,Renewable Energy","South Korea",1973,201-500,http://www.kriso.re.kr/,+82-42-866-3114
"Korean Water Resource Corporation","Technology Developer","Marine Energy,Renewable Energy","South Korea",1967,"6,584",https://www.kwater.or.kr/eng/main.do,82-42-629-2245
KymoGen,"Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,https://sites.google.com/site/kymogen/,"(860) 516-3141"
LHD,"Technology Developer","Marine Energy,Renewable Energy",China,,,,
Laminaria,"Technology Developer","Marine Energy,Renewable Energy",Belgium,,,http://www.laminaria.be/,3259795656
"Lancaster University",,"Marine Energy,Renewable Energy","United Kingdom",1960,,http://www.lancaster.ac.uk/,"+44 (0)1524 65201"
"Langlee Wave Power AS","Technology Developer","Renewable Energy,Marine Energy",Norway,2006,2-10,http://www.langleewp.com/,47-66-98-22-02
"Leading Edge","Technology Developer","Marine Energy,Renewable Energy","United States",,,,
"Leancon Wave Energy","Technology Developer","Renewable Energy,Marine Energy",Denmark,2004,,http://www.leancon.com/,"+ 45 7550 5762"
"Leviathan Energy","Technology Developer","Renewable Energy,Hydropower,Marine Energy,Wind energy","United States",2008,2-10,http://www.leviathanenergy.com,
LifeDemoWave,"Project Manager","Marine Energy,Renewable Energy",Spain,2015,11-50,http://www.life-demowave.eu/,"+34 986 118 888"
"Limerick Wave Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2010,,http://limerickwave.com/,"061 293816, Ext. 3816 "
